ID;city;lat;lng;admin;capital;patrim;nomeavel
206;Mortagua;40,396746;-8,232341;Viseu;minor;Nao;Nao
207;Tabua;40,362074;-8,02936;Coimbra;minor;Nao;Nao
208;Cascais;38,69745;-9,423141;Lisboa;minor;Nao;Nao
209;Barcelos;41,538763;-8,615053;Braga;minor;Nao;Nao
210;Boticas;41,689874;-7,665938;Vila Real;minor;Nao;Nao
211;Sabrosa;41,267017;-7,576007;Vila Real;minor;Nao;Nao
212;Montalegre;41,823569;-7,789714;Vila Real;minor;Nao;Nao
213;Gondomar;41,144536;-8,532229;Porto;minor;Nao;Nao
214;Freixo de Espada a Cinta;41,090327;-6,806478;Braganca;minor;Nao;Nao
215;Mora;38,943515;-8,164337;evora;minor;Nao;Nao
216;Vendas Novas;38,677056;-8,457924;evora;minor;Nao;Nao
217;Vila Nova de Foz Coa;41,083333;-7,2;Guarda;minor;Nao;Nao
218;Caldas da Rainha;39,403255;-9,138387;Leiria;minor;Nao;Nao
219;Marvao;39,393912;-7,376861;Portalegre;minor;Nao;Nao
220;Vimioso;41,584726;-6,52767;Braganca;minor;Nao;Nao
221;Odivelas;38,795234;-9,187387;Lisboa;minor;Nao;Nao
222;Odemira;37,598106;-8,638886;Beja;minor;Nao;Nao
223;Peniche;39,357486;-9,380439;Leiria;minor;Nao;Nao
224;Vagos;40,555998;-8,68175;Aveiro;minor;Nao;Nao
225;Marco de Canavezes;41,183887;-8,148641;Porto;minor;Nao;Sim
226;Coruche;38,959546;-8,525235;Santarem;minor;Nao;Nao
227;Coimbra;40,205642;-8,419551;Coimbra;admin;Sim;Nao
228;Barrancos;38,134462;-6,976042;Beja;minor;Nao;Nao
229;Montemor-o-Novo;38,648117;-8,214549;evora;minor;Nao;Nao
230;Meda;40,966352;-7,261634;Guarda;minor;Nao;Nao
231;obidos;39,360551;-9,156696;Leiria;minor;Nao;Nao
232;Gois;40,157353;-8,110067;Coimbra;minor;Nao;Nao
233;Reguengos de Monsaraz;38,425293;-7,534945;evora;minor;Nao;Nao
234;Torre de Moncorvo;41,174537;-7,05364;Braganca;minor;Nao;Nao
235;Murtosa;40,736948;-8,637697;Aveiro;minor;Nao;Nao
236;Alcobaca;39,552233;-8,977495;Leiria;minor;Sim;Nao
237;Figueira da Foz;40,150852;-8,861786;Coimbra;minor;Nao;Nao
238;Figueira de Castelo Rodrigo;40,892619;-6,963502;Guarda;minor;Nao;Nao
239;Abrantes;39,466667;-8,2;Santarem;minor;Nao;Nao
240;Arruda dos Vinhos;38,984106;-9,077463;Lisboa;minor;Nao;Nao
241;Fundao;40,140247;-7,501348;Castelo Branco;minor;Nao;Nao
242;Tarouca;41,014444;-7,781432;Viseu;minor;Nao;Nao
243;ilhavo;40,599896;-8,667325;Aveiro;minor;Nao;Nao
244;Alpiarca;39,257116;-8,581866;Santarem;minor;Nao;Nao
245;Albufeira;37,090205;-8,25079;Faro;minor;Nao;Nao
246;Penela;40,033333;-8,383333;Coimbra;minor;Nao;Nao
247;Valenca;42,03104;-8,645953;Viana do Castelo;minor;Nao;Nao
248;Amares;41,630907;-8,351166;Braga;minor;Nao;Nao
249;Sao Bras de Alportel;37,1531;-7,887515;Faro;minor;Nao;Nao
250;Pampilhosa da Serra;40,046198;-7,951824;Coimbra;minor;Nao;Nao
251;Tavira;37,127338;-7,648609;Faro;minor;Nao;Nao
252;Nisa;39,514989;-7,649077;Portalegre;minor;Nao;Nao
253;Alter do Chao;39,198712;-7,658298;Portalegre;minor;Nao;Nao
254;Castro Verde;37,698282;-8,085812;Beja;minor;Nao;Nao
255;Mealhada;40,378063;-8,449912;Aveiro;minor;Nao;Nao
256;Cuba;38,165436;-7,892402;Beja;minor;Nao;Nao
257;Vouzela;40,723613;-8,112833;Viseu;minor;Nao;Nao
258;Vila Franca de Xira;38,955249;-8,98966;Lisboa;minor;Nao;Nao
